OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU428,1,0,0,2,3,4,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,
OTU725,1,0,0,0,0,2,k__Fungi,p__Ascomycota,,,,,
OTU591,1,0,65,0,2,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Gloniaceae,g__Cenococcum,
OTU663,1,0,0,1,1,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,,
OTU563,1,0,2,0,1,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Coniochaeta,
OTU241,1,0,42,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,
OTU169,1,0,21,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,,
OTU578,1,0,8,0,0,0,k__Fungi,p__Ascomycota,,,,,
OTU7,0,0,1187,21,32,8029,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,
OTU19,0,0,2,12,6,2364,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__Russula_crustosa
OTU6,0,0,5,3105,2305,1745,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
OTU25,0,0,2,3,254,1512,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
OTU44,0,0,47,414,505,948,k__Fungi,p__Ascomycota,,,,,
OTU49,0,0,0,2,1,457,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,,
OTU39,0,0,2,820,3,410,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
OTU74,0,0,0,2,2,387,k__Fungi,p__Ascomycota,,,,,
OTU10,0,0,3,2709,97,296,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Lactarius,
