OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species,
OTU331,2,1,3,3,12,1,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU1195,2,12,3,9,8,1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,s__celatum,
OTU1531,2,1,7,5,7,1,k__Bacteria,p__Acidobacteria,c__TM1,o__,f__,g__,s__,
OTU2567,2,1,0,5,6,1,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__,s__,
OTU2643,2,0,1,1,6,1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU1576,2,6,1,61,5,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__,
OTU254,2,0,10,2,5,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Ellin329,f__,g__,s__,
OTU643,2,3,1,1,5,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__,
OTU1305,2,0,2,4,4,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,,
OTU2275,2,1,1,3,4,1,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__,s__,
OTU2175,2,0,0,2,3,1,k__Bacteria,,,,,,,
OTU1444,2,1,4,0,3,1,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU1054,2,0,0,4,2,1,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU2143,2,0,0,3,2,1,k__Bacteria,p__Acidobacteria,c__[Chloracidobacteria],o__11-24,f__,g__,s__,
OTU1081,2,1,1,2,2,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU1084,2,0,2,1,2,1,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__,
OTU738,2,0,3,0,2,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU1427,2,0,3,0,2,1,k__Bacteria,p__Chloroflexi,c__S085,o__,f__,g__,s__,
OTU563,2,1,3,2,1,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aminobacter,s__,
OTU1520,2,0,2,2,1,1,k__Bacteria,p__FCPU426,c__,o__,f__,g__,s__,
