OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species,
OTU14,479,193,342,745,575,495,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU9,399,220,527,741,975,414,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__,
OTU12,353,149,207,140,221,400,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU40,275,103,259,295,306,225,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU23,253,84,178,294,202,223,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU60,246,84,136,237,147,306,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU13,232,75,268,170,366,163,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU83,204,74,131,114,140,172,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__,
OTU24,192,60,230,189,247,174,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU44,192,59,104,282,221,127,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU111,189,78,108,19,104,250,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU36,169,85,79,13,81,134,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU19,155,110,160,425,196,166,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU21,153,71,122,146,126,102,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU41,144,27,25,65,56,53,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU1533,138,57,104,196,165,135,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU22,133,99,100,228,150,153,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU116,132,76,174,100,133,136,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU968,126,45,130,79,59,39,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU98,119,12,50,61,121,26,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,,,,
OTU102,108,36,84,51,87,144,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU17,108,53,154,57,93,96,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU29,105,46,106,218,163,160,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__,
OTU545,104,30,78,65,35,38,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU28,99,56,114,103,145,340,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU109,98,43,140,44,58,71,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__,
OTU88,92,21,97,18,37,21,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU20,91,43,46,162,126,137,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium,s__,
OTU30,90,58,63,81,118,104,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__,
OTU33,90,47,84,145,104,82,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__,
OTU74,86,51,90,139,78,110,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU138,84,34,18,27,33,18,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU1066,81,56,111,107,60,66,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU8,79,1290,0,2,1,0,k__Bacteria,p__Proteobacteria,,,,,,
OTU221,74,22,106,51,61,41,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU1065,71,35,79,76,44,35,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU89,68,26,14,39,90,92,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__EB1017,g__,s__,
OTU146,68,31,41,99,49,65,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU2336,63,9,43,37,25,39,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU75,58,39,96,7,26,84,k__Bacteria,p__WPS-2,c__,o__,f__,g__,s__,
OTU273,58,7,168,7,42,14,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU145,57,38,67,47,69,23,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU396,56,4,59,24,24,33,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__A21b,f__EB1003,g__,s__,
OTU338,55,6,29,46,42,78,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU72,55,15,51,57,26,36,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU1776,55,24,59,87,63,34,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU96,53,14,10,27,24,16,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU66,51,36,40,9,42,163,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU2110,50,35,55,72,66,41,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU296,50,10,66,14,27,19,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU268,49,14,48,79,57,17,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU124,48,14,44,33,32,60,k__Bacteria,p__Chloroflexi,c__TK10,o__B07_WMSP1,f__FFCH4570,g__,s__,
OTU42,48,11,39,19,39,11,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,,,,
OTU58,46,33,85,46,22,24,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU548,45,13,64,21,30,11,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU421,44,4,4,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU811,40,9,19,31,21,52,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU31,40,32,14,26,47,49,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU866,40,32,38,60,24,37,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU56,40,7,39,61,26,35,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,,,
OTU32,40,14,28,35,29,31,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__,s__,
OTU443,40,14,43,35,51,24,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU166,40,7,30,6,12,21,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU540,40,2,27,8,17,12,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__,
OTU2497,39,9,16,34,75,62,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,,,,
OTU39,39,16,51,30,40,25,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,,,,
OTU85,39,13,34,47,21,24,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__,
OTU2272,38,20,51,24,16,27,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU1295,38,10,30,25,37,25,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU92,37,13,33,13,13,41,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU78,37,11,24,13,14,24,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU151,36,5,32,11,10,26,k__Bacteria,p__Gemmatimonadetes,c__Gemm-1,o__,f__,g__,s__,
OTU246,36,9,32,14,16,16,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__,g__,s__,
OTU227,35,18,14,42,57,52,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU156,35,27,44,9,10,25,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,,
OTU602,34,16,65,21,10,5,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU100,33,13,20,1,25,76,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU179,33,14,19,49,31,57,k__Bacteria,p__Acidobacteria,c__Acidobacteria-5,o__,f__,g__,s__,
OTU658,33,9,38,38,26,25,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU165,33,5,19,59,21,15,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU157,32,1,17,2,24,8,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU213,31,25,25,66,94,112,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU484,31,12,12,1,13,47,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU241,31,11,12,4,9,33,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU1,31,1348,39,13,10,9,k__Bacteria,,,,,,,
OTU1407,31,6,35,3,5,3,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__,
OTU841,30,23,54,27,27,34,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU154,30,12,17,52,20,15,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__CCU21,f__,g__,s__,
OTU574,29,6,38,15,18,22,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU26,28,12,5,25,41,60,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU186,28,26,25,27,33,38,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU1494,28,10,91,17,99,23,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU27,27,39,42,135,60,180,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU384,27,11,27,26,25,33,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,,
OTU168,27,9,83,9,19,33,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU819,27,4,43,5,29,14,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU517,27,2,11,8,9,14,k__Bacteria,p__Acidobacteria,c__iii1-8,o__DS-18,f__,g__,s__,
OTU353,26,13,47,40,37,50,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU288,26,15,18,39,38,39,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU1874,26,25,28,24,31,37,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU337,26,16,33,71,57,36,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU43,26,7,2,66,32,30,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__,
OTU239,26,5,41,4,23,21,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU267,26,3,18,22,21,21,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__Candidatus,,
OTU539,26,3,6,3,5,15,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU86,25,15,30,9,30,26,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU172,25,13,39,34,15,16,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__,g__,s__,
OTU3,25,663,23,15,8,11,Unclassified,,,,,,,
OTU95,25,4,31,22,3,11,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__,f__,g__,s__,
OTU720,25,1,13,34,13,3,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__,
OTU1521,24,8,12,9,15,24,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU531,24,11,26,15,25,20,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU2575,24,5,22,7,10,10,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU1285,24,7,29,16,11,9,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__,
OTU69,23,25,33,52,49,34,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU34,23,14,23,11,14,30,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU1695,23,6,14,10,10,22,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU552,23,17,37,12,16,10,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__,
OTU64,23,22,13,106,16,9,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,,,
OTU842,23,9,5,3,3,0,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU65,22,28,23,89,35,35,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU3068,22,13,13,16,31,26,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU485,22,12,13,40,16,25,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU71,22,8,10,1,3,4,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU1472,21,20,15,11,38,85,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU467,21,8,20,44,35,64,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU203,21,18,28,21,62,24,k__Bacteria,p__Chloroflexi,c__TK10,o__B07_WMSP1,f__FFCH4570,g__,s__,
OTU785,21,11,29,10,9,15,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU1079,21,8,27,4,12,11,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU1206,21,697,27,7,8,8,Unclassified,,,,,,,
OTU80,20,8,20,22,14,37,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU278,20,10,6,59,25,18,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__DA101,s__,
OTU162,20,3,30,10,14,16,k__Bacteria,p__Acidobacteria,c__iii1-8,o__32-20,f__,g__,s__,
OTU733,19,4,18,25,28,39,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,,,,
OTU2720,19,7,19,20,15,26,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU152,19,7,11,34,22,19,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__,
OTU1007,19,3,17,20,12,16,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Conexibacteraceae,g__,s__,
OTU308,19,2,16,7,5,12,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU781,19,7,39,2,2,7,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__A21b,f__EB1003,g__,s__,
OTU1004,19,19,12,5,12,3,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU982,19,4,34,18,5,1,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU861,18,10,43,52,34,32,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__,
OTU77,18,10,6,13,14,32,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__JG30-KF-AS9,f__,g__,s__,
OTU63,18,18,19,70,62,25,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU347,18,10,23,7,6,24,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__CCU21,f__,g__,s__,
OTU364,18,14,23,34,13,23,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU1024,18,9,15,27,13,20,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU103,18,3,14,4,6,16,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__,
OTU282,18,19,8,38,12,12,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU972,18,4,10,0,11,5,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU543,18,2,20,5,3,5,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,g__,s__,
OTU216,17,8,13,33,60,63,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__,
OTU1998,17,4,8,25,12,24,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU562,17,8,10,14,18,22,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU126,17,4,6,22,29,17,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU70,17,12,13,39,16,16,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__,
OTU621,17,4,5,7,9,16,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__H39,f__,g__,s__,
OTU747,17,3,1,3,6,10,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__MND1,f__,g__,s__,
OTU269,17,0,8,13,13,9,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU1021,17,2,11,12,17,8,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU173,17,7,17,9,8,8,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__,g__,s__,
OTU105,16,12,21,69,39,33,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU568,16,9,34,12,25,29,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU528,16,4,13,11,17,19,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__SC-I-84,f__,g__,s__,
OTU234,16,4,59,0,19,15,k__Bacteria,p__GAL15,c__,o__,f__,g__,s__,
OTU624,16,4,6,12,3,13,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU144,16,2,9,9,21,12,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__,s__,
OTU2,16,771,14,12,5,9,Unclassified,,,,,,,
OTU1826,16,12,41,6,7,8,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU104,16,2,5,6,5,7,k__Bacteria,p__Acidobacteria,c__iii1-8,o__32-20,f__,g__,s__,
OTU591,16,0,2,3,5,7,k__Bacteria,p__Gemmatimonadetes,c__Gemm-1,o__,f__,g__,s__,
OTU4,16,440,16,10,4,7,Unclassified,,,,,,,
OTU1517,16,11,15,5,5,5,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU1136,16,5,17,0,5,5,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU549,16,5,32,3,3,4,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,,,
OTU50,16,13,13,34,9,2,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU1734,15,5,9,3,7,34,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU2908,15,7,10,16,35,25,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU176,15,6,23,6,14,14,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU1100,15,16,28,93,37,12,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU289,15,10,39,60,19,12,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__,
OTU803,15,3,16,8,11,12,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__Candidatus,,
OTU1458,15,2,12,4,6,9,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__,
OTU395,15,2,19,11,14,4,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__Ellin515,g__,s__,
OTU623,15,0,15,5,4,4,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium,s__,
OTU231,15,3,41,6,12,3,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,,
OTU498,15,11,10,14,8,2,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU401,15,3,9,0,2,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__MND1,f__,g__,s__,
OTU622,15,0,12,2,2,0,k__Bacteria,p__WPS-2,c__,o__,f__,g__,s__,
OTU702,15,10,6,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU789,14,8,4,0,5,43,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU245,14,16,6,18,54,40,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU594,14,5,20,7,16,7,k__Bacteria,p__Acidobacteria,c__TM1,o__,f__,g__,s__,
OTU1304,14,10,32,17,9,6,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU230,14,2,10,2,7,3,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU923,14,9,16,1,0,3,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,,,,
OTU235,14,5,16,4,7,2,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU706,14,10,19,0,1,2,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU294,13,4,15,6,23,41,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU2844,13,5,10,6,8,38,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__EB1017,g__,s__,
OTU298,13,14,14,52,8,27,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacteraceae,,,
OTU306,13,10,21,16,15,15,k__Bacteria,p__GAL15,c__,o__,f__,g__,s__,
